imageId,plane_type,split,image_path,label
1514522,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1514522.jpg,0
0747566,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0747566.jpg,0
1008575,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1008575.jpg,0
0717480,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0717480.jpg,0
0991569,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0991569.jpg,0
1446335,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1446335.jpg,0
1345732,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1345732.jpg,0
0064932,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0064932.jpg,0
1453508,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1453508.jpg,0
0536515,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0536515.jpg,0
0809560,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0809560.jpg,0
0812092,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0812092.jpg,0
0979377,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0979377.jpg,0
0062765,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0062765.jpg,0
1191359,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1191359.jpg,0
0894381,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0894381.jpg,0
0574359,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0574359.jpg,0
0447936,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0447936.jpg,0
0658110,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0658110.jpg,0
0725155,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0725155.jpg,0
0691159,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0691159.jpg,0
1707891,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1707891.jpg,0
1338874,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1338874.jpg,0
0812908,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0812908.jpg,0
1187784,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1187784.jpg,0
0895165,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0895165.jpg,0
0197342,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0197342.jpg,0
0789828,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0789828.jpg,0
0602227,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0602227.jpg,0
2127935,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/2127935.jpg,0
0869739,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0869739.jpg,0
0939480,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0939480.jpg,0
0537688,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0537688.jpg,0
1025794,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1025794.jpg,0
1340192,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/1340192.jpg,0
0056978,Boeing 707,train,D:\Study\fly\paper_code\fgvc-aircraft-2013b.tar\fgvc-aircraft-2013b\data\images/0056978.jpg,0
